Timestamp,Continue,How old are you?,Sex,Which state do you reside?,Employment Status,Highest level of education,Have you ever sought therapy or counseling services?," If yes, what did you seek therapy for?"," If others, please state",Was the therapy helpful?,What were the barriers to accessing therapy?,"If others, please state.",Did you experience difficulties finding a therapist who met your needs?,From scale of 1 to 5 (1 - not aware and 5 very much aware) rate your awareness of mental health issues  ,Are you aware of availability of therapy services in your community?,What initiatives or strategies would help raise awareness about mental health and therapy?,Do you feel there is a stigma associated with seeking therapy or counseling?,Have you personally experienced or witnessed stigma related to mental health therapy?,What do you think could help reduce stigma around mental health issues and therapy?,How satisfied are you with the therapy services you have received (If applicable)?,Have you encountered any issues with the quality of therapy you received?,What improvement would you suggest to enhance the quality of therapy services,Have you used any mental health related technology for support or therapy,How beneficial was the use of this technology to you?,How can technology be better integrated into therapy services?,"From a scale of 1 to 5 (with 1 not being important and 5 being very important), rate how important is the rapport and trust you have with your therapist?",Have you had positive or negative experience with a therapist?,List the qualities you value in a therapist?,Is therapy cost covered by your insurance plan or HMO?,Have you faced challenges with insurance coverage for mental health services?,"
What can be done to improve the accessibility and affordability of mental health therapy?",Have you ever had difficulty finding a qualified therapist in your area?,Are there enough mental health professionals in your community?,What do you think can attract more individuals to work in the mental health sector?,
2023/09/10 4:53:45 pm CET,Yes,25-34,Male,Kaduna,Self employed,Tertiary education,No,,,,,,Not Applicable,3,,Public enlightment;Social Media;Radio/TV jingles,Yes,No,Awareness programs,Satisfied,No,Cheap consultations,Yes,Beneficial,Accessibility and usability of such apps,6,Positive,"Caring, encouraging, friendly ",No,No,Easy means of online payment and cheaper fees,Yes,No,Public Awareness and destigmatization,No
2023/09/12 12:17:21 am CET,Yes,25-34,Male,Ogun ,Unemployed,Tertiary education,Yes,Stress,,Yes,Accessibility,,Yes,5,No,Social Media,Maybe,No,Empowerment,Satisfied,No,Easy access ,No,Beneficial,Mental health apps,3,Not Applicable,Friendliness,I don't have an Insurance plan or HMO,No,Government Policies,Yes,No,Good payment ,
2023/09/12 7:28:47 am CET,Yes,18-24,Male,FCT Abuja,Employed,Tertiary education,Yes,Anxiety,,Yes,Accessibility,,Yes,4,No,Public enlightment,Yes,Yes,Awareness,Satisfied,No,,No,Not Applicable,Teletherapy,4,Positive,Empathy,No,Yes,Public-Private Partnership,Yes,No,Lucrative salaries,
2023/09/12 7:31:46 am CET,Yes,18-24,Male,Kaduna,Student,Tertiary education,Yes,Depression,,Yes,Cost,,Yes,5,No,Public enlightment;Social Media,No,No,Outreach,Satisfied,No,Awewrness is Paramount.,No,Not Applicable,Others,3,Positive,Trust,No,No,Government Policies,Yes,No,Publicity,
2023/09/12 7:43:50 am CET,Yes,25-34,Male,Kaduna ,Self employed,Tertiary education,No,Others,None,No,Others,None,Not Applicable,1,No,Public enlightment,No,No,Awareness,Not Applicable,Not Applicable,More research ,No,Not Applicable,Anonymous online community,4,Not Applicable,Patience,I don't have an Insurance plan or HMO,Not Applicable,Healthcare Reform,Not Applicable,I don't know,Health reform ,
2023/09/12 8:49:15 am CET,Yes,18-24,Female,Lagos,Student,Tertiary education,Yes,Depression,,Yes,Accessibility,,No,5,No,Social Media,Yes,Yes,Outreach,Satisfied,No,,No,Not Applicable,Teletherapy,4,Positive,Patience,I don't have an Insurance plan or HMO,No,Healthcare Reform,Yes,No,Being passionate about the work,
2023/09/12 8:52:33 am CET,Yes,25-34,Male,Abuja ,Self employed,Tertiary education,No,Others,No,No,,,Not Applicable,5,No,Public enlightment;Social Media;Others,Maybe,No,Awareness,Not Applicable,Not Applicable,,No,Not Applicable,Mental health apps,2,Not Applicable,Empathy,I don't have an Insurance plan or HMO,Not Applicable,Healthcare Reform,Not Applicable,I don't know,It should be juicy,
2023/09/12 8:56:45 am CET,Yes,25-34,Male,Kano,Employed,Tertiary education,Yes,Stress,,Yes,Accessibility,,Yes,5,Yes,Public enlightment,Maybe,No,Awareness,Satisfied,No,Availability and accessibility ,Yes,Beneficial,Mental health apps,4,Not Applicable,Empathy,I don't have an Insurance plan or HMO,Yes,Government Policies,Yes,I don't know,Awareness ,
2023/09/12 8:58:52 am CET,Yes,25-34,Female,Kaduna ,Employed,Tertiary education,No,Stress,,Yes,Accessibility,,Not Applicable,5,Yes,Social Media,No,No,Outreach,Not Applicable,Not Applicable,"A lot of people out there are going through things that are unimaginable. I know therapy charges are so high and not everyone is able to afford it. if it can be accessible online at subsidized rate, it will go a long way m  ",No,Not Applicable,Mental health apps,3,Negative,Empathy,No,Yes,Government Policies,No,No,Invest in mental health awareness campaigns and reduce stigma to encourage more people to seek help and support.,
2023/09/12 9:40:12 am CET,Yes,25-34,Female,Oyo,Employed,Tertiary education,No,Others,I haven't sort therapy,No,,,Not Applicable,5,No,Public enlightment;Social Media;Radio/TV jingles,Maybe,Yes,Awareness,Not Applicable,Not Applicable,,No,Not Applicable,Anonymous online community,5,Not Applicable,Trust,I don't have an Insurance plan or HMO,Not Applicable,Healthcare Reform,Not Applicable,No,Awareness of the importance of mental health and the fact that it's a fast growing health issue,
2023/09/12 10:33:30 am CET,Yes,18-24,Male,FCT,Employed,Tertiary education,No,Others,,No,Others,,Not Applicable,5,No,Public enlightment;Social Media;Radio/TV jingles,No,Yes,Awareness,Not Applicable,Not Applicable,,Yes,Beneficial,Mental health apps,5,Not Applicable,Empathy,I don't have an Insurance plan or HMO,Not Applicable,Public-Private Partnership,Not Applicable,I don't know,Awareness ,
2023/09/12 11:17:56 am CET,Yes,18-24,Female,Lagos,Self employed,Tertiary education,No,,,No,Others,,Not Applicable,3,No,Public enlightment;Social Media;Radio/TV jingles,Maybe,No,Awareness,Not Applicable,Not Applicable,,No,Not Applicable,Teletherapy,3,Not Applicable,Trust,I don't have an Insurance plan or HMO,Not Applicable,Healthcare Reform,Not Applicable,I don't know,Incentive,
2023/09/12 11:58:02 am CET,Yes,25-34,Male,Plateau,Unemployed,Tertiary education,No,,,No,,,Not Applicable,3,No,Public enlightment;Social Media;Others,Maybe,No,Awareness,Not Applicable,Not Applicable,,No,Not Applicable,Anonymous online community,,Not Applicable,Trust,I don't have an Insurance plan or HMO,Not Applicable,Healthcare Reform,Not Applicable,I don't know,Not sure,
2023/09/12 12:07:18 pm CET,Yes,25-34,Female,Kaduna ,Employed,Tertiary education,Yes,Stress,,Yes,Cost,,No,5,Yes,Social Media,Yes,No,Awareness,Satisfied,No,"Booked sessions,low cost, proximity ",No,Not Applicable,Anonymous online community,5,Positive,Patience,I don't have an Insurance plan or HMO,No,Government Policies,Yes,No,Good social amenities and good salary ,
2023/09/12 12:15:56 pm CET,Yes,25-34,Male,Abuja,Self employed,Tertiary education,Yes,Anxiety,,Yes,Cost,,Yes,5,No,Public enlightment,No,No,Awareness,Satisfied,No,,No,Not Applicable,Teletherapy,4,Positive,Trust,I don't have an Insurance plan or HMO,Not Applicable,Government Policies,Yes,No,Career awareness ,
2023/09/12 12:17:28 pm CET,Yes,25-34,Female,Oyo,Self employed,Tertiary education,Yes,Depression,,Yes,Cost,,Not Applicable,5,No,Public enlightment,Yes,No,Awareness,Not Satisfied,No,,No,Not Applicable,Teletherapy,3,Positive,Patience,I don't have an Insurance plan or HMO,Not Applicable,Healthcare Reform,Yes,No,Advanced Technology,
2023/09/12 12:36:56 pm CET,Yes,35-44,Male,Edo State,Employed,Tertiary education,No,,,Not Application,,,Not Applicable,5,Yes,Public enlightment;Social Media;Radio/TV jingles,Maybe,No,Awareness,Not Applicable,Not Applicable,,No,Not Applicable,Anonymous online community,5,Not Applicable,Empathy,I don't have an Insurance plan or HMO,Not Applicable,Healthcare Reform,Not Applicable,I don't know,Good remuneration,
2023/09/12 12:46:07 pm CET,Yes,Above 55,Male,Edo State ,Employed,Tertiary education,No,,,Not Application,,,Not Applicable,5,Yes,Public enlightment;Social Media;Radio/TV jingles,Yes,No,Awareness,Not Applicable,Not Applicable,Employment of competent and professional personalities ,No,Not Applicable,Teletherapy,5,Not Applicable,Empathy,No,Not Applicable,Public-Private Partnership,Not Applicable,I don't know,"Make training accessible, easy as well as employment and emoluments very attractive. ",
2023/09/12 1:02:03 pm CET,Yes,45-54,Male,Edo State,Employed,Tertiary education,No,Anxiety,,Yes,Accessibility,,Yes,5,No,Public enlightment,Yes,No,Awareness,Not Applicable,Not Applicable,,No,Not Applicable,Mental health apps,5,Positive,Empathy,I don't have an Insurance plan or HMO,Not Applicable,Government Policies,Not Applicable,I don't know,Building more centres,
2023/09/12 1:13:50 pm CET,Yes,45-54,Male,Edo,Employed,Tertiary education,Yes,Anxiety,,Yes,Accessibility,,Yes,4,No,Others,Yes,Yes,Awareness,Satisfied,No,Educate the people on mental issues so that the person seeking help will not be ashamed of going to seek help. That people should be told that it is not only mad persons that have mental problems ,No,Not Applicable,Mental health apps,5,Positive,Friendliness,I don't have an Insurance plan or HMO,Not Applicable,Healthcare Reform,Yes,No,Talk to the people about mental health issues and put programs in  place that will attract the young ones to enter  the program that will train them to become professionals,
2023/09/12 1:32:03 pm CET,Yes,18-24,Male,Kaduna ,Student,Tertiary education,Yes,Depression,,Yes,Accessibility,,Yes,3,No,Public enlightment,Yes,No,Awareness,Satisfied,No,,No,Not Applicable,Others,3,Not Applicable,Friendliness,I don't have an Insurance plan or HMO,Not Applicable,Healthcare Reform,Yes,No,"There are lots of things that can attract individuals to the mental health sector. One thing that could be really beneficial is offering more financial incentives for mental health professionals, like competitive salaries and benefits. Another thing that could be helpful is increasing public awareness about mental health and the importance of seeking help. You could also make it easier for people to access mental health services, like by increasing the number of providers or making services more affordable.",
2023/09/12 1:47:28 pm CET,Yes,18-24,Female,Lagos ,Student,Tertiary education,Yes,Depression,,No,Cost,,Yes,5,Yes,Radio/TV jingles,Yes,Yes,Empowerment,Not Satisfied,Yes,"First, let it be subsidized so the masses can have access to it. For someone like me that have a chronic mental illness therapy is a must but can't access it because of cost. ",Yes,Beneficial,Mental health apps,3,Negative,Patience,Yes,No,Public-Private Partnership,Yes,No,Empowerment and Good incentives ,
2023/09/12 1:51:44 pm CET,Yes,45-54,Female,Edo State ,Employed,Tertiary education,Yes,Stress,,Yes,Accessibility,,Yes,5,No,Public enlightment,Maybe,No,Awareness,Satisfied,No,Follow up on the person. ,Yes,Beneficial,AI driven chat bots,5,Positive,Trust,I don't have an Insurance plan or HMO,Not Applicable,Healthcare Reform,Yes,No,High pay for mental health workers and security insurance. ,
2023/09/12 2:15:16 pm CET,Yes,18-24,Male,Niger ,Student,Tertiary education,No,,,Not Application,Accessibility,,Not Applicable,4,No,Public enlightment,Yes,No,Awareness,Not Applicable,Not Applicable,,No,Not Applicable,Anonymous online community,4,Not Applicable,Friendliness,I don't have an Insurance plan or HMO,Not Applicable,Healthcare Reform,Yes,No,Raising the pay,
2023/09/12 2:26:00 pm CET,Yes,35-44,Female,Oyo,Employed,Tertiary education,Yes,Depression,,Yes,,,Yes,4,Yes,Public enlightment;Social Media;Radio/TV jingles,Yes,No,Awareness,Satisfied,No,Technology aided services,No,Not Applicable,Anonymous online community,3,Negative,Empathy,I don't have an Insurance plan or HMO,Not Applicable,Public-Private Partnership,No,I don't know,Good working conditions and high pay,
2023/09/12 2:30:32 pm CET,Yes,35-44,Female,Edo State ,Employed,Tertiary education,No,,,Not Application,Stigma,,Not Applicable,5,No,Public enlightment,Yes,No,Awareness,Not Applicable,Not Applicable,,No,Not Applicable,Teletherapy,5,Not Applicable,Empathy,No,Not Applicable,Public-Private Partnership,Not Applicable,I don't know,"Make training, employment and motivation attractive.",
2023/09/12 2:44:20 pm CET,Yes,18-24,Female,Plateau ,Student,Tertiary education,Yes,Anxiety,,Yes,Cost,,No,5,Yes,Social Media,Maybe,No,Awareness,Satisfied,No,,No,Not Applicable,Teletherapy,5,Positive,Friendliness,I don't have an Insurance plan or HMO,Not Applicable,,Yes,No,I don’t know ,
2023/09/12 4:36:36 pm CET,Yes,18-24,Male,Kaduna ,Student,Tertiary education,Yes,Stress,,Yes,Accessibility,,Yes,4,No,Public enlightment,Maybe,No,Awareness,Not Applicable,Not Applicable,,No,Not Applicable,Mental health apps,4,Positive,Trust,I don't have an Insurance plan or HMO,Not Applicable,Public-Private Partnership,Yes,I don't know,Patronage ,
2023/09/12 6:00:19 pm CET,Yes,18-24,Male,Kaduna,Self employed,Tertiary education,Yes,Stress;Others,,Yes,Accessibility,,No,4,No,Social Media,No,No,Outreach,Satisfied,No,,Yes,Beneficial,Mental health apps,4,Positive,Trust,I don't have an Insurance plan or HMO,Yes,Government Policies,Yes,No,Social media awareness,
2023/09/12 6:13:20 pm CET,Yes,18-24,Female,Kano,Student,Tertiary education,No,,,Not Application,Accessibility;Cost,,Not Applicable,4,Yes,Public enlightment;Social Media,Yes,Yes,Awareness;Outreach,Not Applicable,Not Applicable,,Yes,Not Beneficial,Mental health apps,,Not Applicable,Trust,I don't have an Insurance plan or HMO,Not Applicable,Public-Private Partnership,Yes,No,Awareness that people's mental health is im5,
